Dato;Arbeidsledighet;;;;;;;;;
2022-01;74 143;;;;;;;;;
2022-02;64 439;;;;;;;;;
2022-03;58 368;;;;;;;;;
2022-04;53 785;;;;;;;;;
2022-05;47 142;;;;;;;;;
2022-06;47 104;;;;;;;;;
2022-07;48 066;;;;;;;;;
2022-08;47 934;;;;;;;;;
2022-09;46 011;;;;;;;;;
2022-10;45 406;;;;;;;;;
2022-11;45 690;;;;;;;;;
2022-12;47 684;;;;;;;;;
2023-01;55 357;;;;;;;;;
2023-02;54 728;;;;;;;;;
2023-03;53 456;;;;;;;;;
2023-04;53 199;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;